Console Variable Name                                            | Actual Value     | Default Value    | Minimum        | Maximum        | Help

weapon_showproficiency                                           | 0                | 0                |                |                | 
sv_ladder_angle                                                  | -0.707           | -0.707           | -1.000000      | 1.000000       | Cos of angle of incidence to ladder perpendicular for applying ladder_dampen
cash_player_killed_teammate                                      | -300             | -300             |                |                | 
cs_ShowStateTransitions                                          | -2               | -2               |                |                | cs_ShowStateTransitions <ent index or -1 for all>. Show player state transitions.
mp_deathcam_skippable                                            | 1                | 1                |                |                | Determines whether a player can early-out of the deathcam.
snd_occlusion_indirect_max                                       | 0.85             | 0.85             |                |                | 
r_DrawPortals                                                    | 0                | 0                |                |                | 
mat_verbose_texture_gen                                          | 0                | 0                |                |                | 
ai_use_frame_think_limits                                        | 1                | 1                |                |                | 
ai_spread_cone_focus_time                                        | 0.6              | 0.6              |                |                | 
sv_maxspeed                                                      | 320              | 320              |                |                | 
mp_buy_allow_grenades                                            | 1                | 1                | 0.000000       | 1.000000       | Whether players can purchase grenades from the buy menu or not.
cash_player_respawn_amount                                       | 0                | 0                |                |                | 
anim_3wayblend                                                   | 1                | 1                |                |                | Toggle the 3-way animation blending code.
adsp_courtyard_min                                               | 126              | 126              |                |                | 
sv_deltaprint                                                    | 0                | 0                |                |                | Print accumulated CalcDelta profiling data (only if sv_deltatime is on)
bugreporter_username                                             |                  |                  |                |                | Username to use for bugreporter
fps_max_menu                                                     | 8192             | 120              |                |                | Frame rate limiter, main menu
r_flashlightdepthtexture                                         | 1                | 1                |                |                | 
scene_showlook                                                   | 0                | 0                |                |                | When playing back, show the directions of look events.
sv_backspeed                                                     | 0.6              | 0.6              |                |                | How much to slow down backwards motion
sv_pushaway_max_force                                            | 1000             | 1000             |                |                | Maximum amount of force applied to physics objects by players.
mp_coopmission_mission_number                                    | 0                | 0                |                |                | Which mission the map should run after it loads.
snd_disable_mixer_solo                                           | 0                | 0                |                |                | 
tv_nochat                                                        | 0                | 0                |                |                | Don't receive chat messages from other GOTV spectators
